,invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Percentage of sales per store
39,INV-08632500071,2017-11-14 00:00:00,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402.0,POINT (-91.67969 42.031819),57,LINN,1081500,Triple Sec,55,SAZERAC NORTH AMERICA,86390,Montezuma Triple Sec,12,1000,2.13,3.2,216,691.2,216.0,57.06,1.1281917690967513
40,INV-11703600001,2018-04-25 00:00:00,3524,Sam's Club 6568 / Ames,305 Airport Rd,Ames,50010.0,POINT (-93.613648 42.001123),85,STORY,1901200,Special Order Items,421,SAZERAC COMPANY  INC,946574,Member's Mark Spiced Rum,6,1750,9.06,13.59,288,3913.92,504.0,133.14,6.388385892510354
41,INV-11928300062,2018-05-07 00:00:00,2512,Hy-Vee Wine and Spirits / Iowa City,1720 Waterfront Dr,Iowa City,52240.0,POINT (-91.53046300000001 41.642764),52,JOHNSON,1081500,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,60,217.8,60.0,15.85,0.35549792724142426
42,INV-11935900110,2018-05-07 00:00:00,2591,Hy-Vee Wine and Spirits / Atlantic,1602 E 7th St,Atlantic,50022.0,POINT (-94.990031 41.403856),15,CASS,1081500,Triple Sec,434,LUXCO INC,86507,Paramount Triple Sec,12,1000,3.84,5.76,4,23.04,4.0,1.06,0.03760639230322504
43,INV-12116400006,2018-05-16 00:00:00,5003,Famous Liquors,2604 W Locust St,Davenport,52804.0,POINT (-90.615542 41.538186),82,SCOTT,1092100,Imported Distilled Spirit Specialty,370,PERNOD RICARD USA,48690,Martell VSSD,24,200,5.99,8.99,2,17.98,0.4,0.11,0.02934734954913135
44,INV-12108900028,2018-05-16 00:00:00,4971,Fareway Stores #138 / Pleasant Hill,"5500, E University Ave",Pleasant Hill,50327.0,POINT (-93.505732 41.599274),77,Polk,1062100,Gold Rum,35,BACARDI USA INC,43040,Bacardi Gold Rum PET,6,1750,15.0,22.5,102,2295.0,178.5,47.15,3.7459492333290565
45,INV-16481100198,2018-12-20 00:00:00,2544,Hy-Vee Food Store / Marshalltown,802 South Center,Marshalltown,50158.0,POINT (-92.912817 42.039205),64,MARSHALL,1081100,Coffee Liqueurs,65,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,6,75.54,6.0,1.58,0.12329804143166752
46,INV-16617300052,2018-12-28 00:00:00,5416,Depot Liquor & Grocery,114 N Center St.,Marshalltown,50158.0,POINT (-92.912975 42.051619),64,MARSHALL,1081100,Coffee Liqueurs,370,PERNOD RICARD USA,67528,Kahlua Coffee,6,1750,24.99,37.49,3,112.47,5.25,1.38,0.1835759957614462
47,INV-16653400110,2018-12-31 00:00:00,2643,Hy-Vee Wine and Spirits / Waterloo,2126 Kimball Ave,Waterloo,50701.0,,7,BLACK HAWK,1081500,Triple Sec,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,2,7.0,2.0,0.52,0.011425553217125664
48,INV-16756400027,2019-01-04 00:00:00,4156,Fareway Stores #412 / Oelwein,102  2nd Ave SE,Oelwein,50662.0,POINT (-91.910502 42.677024),33,FAYETTE,1091300,Neutral Grain Spirits Flavored,346,OLE SMOKY DISTILLERY LLC,86739,Ole Smoky Apple Pie Moonshine 70prf Mini,8,300,8.75,13.13,8,105.04,2.4,0.63,0.1714485871324114
